Reference ID;Country;Product Code;Product Name;Subscription Start Date;Subscription Deactivation Date;Subscription Duration Months;Order Date Kyiv;Return Date Kyiv;Last Rebill Date Kyiv;Has Chargeback;Has Refund;Sales Agent Name;Source;Campaign Name;Total Amount ($);Discount Amount ($);Number Of Rebills;Original Amount ($);Returned Amount ($);Total Rebill Amount
GYB220101-1800-81123;AU;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 1, 2022, 5:22 AM;;;No;No;Esmee;Call;AQ_7;119,19;29,80;;148,99;;
GYB220101-1800-27157;US;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 1, 2022, 12:00 AM;октябрь 8, 2022, 12:00 AM;1;январь 1, 2022, 10:34 PM;;сентябрь 1, 2022, 1:20 PM;No;No;Nick;Chat;AQ_9;149,25;49,75;6;199,00;;119,7
GYB220102-5490-53112;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 2, 2022, 12:00 AM;февраль 2, 2022, 12:00 AM;1;январь 2, 2022, 6:26 PM;;;No;No;Clary;Chat;AQ_9;99,00;0,00;;99,00;;
GYB220102-5490-23160;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 2, 2022, 12:00 AM;;36;январь 2, 2022, 9:53 PM;январь 4, 2022, 12:38 PM;;No;Yes;Jackie;Call;AQ_9;684,00;0,00;;684,00;634,00;
GYB220103-4319-34119;US;gyb-support-24-month-plan-hi; Support 24-month Plan;январь 3, 2022, 12:00 AM;;24;январь 3, 2022, 9:31 PM;;;No;No;Jackie;Call;BF.Upgrade;489,60;86,40;;576,00;;
GYB220103-6977-97158;CA;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 4, 2022, 12:17 AM;;;No;No;Jackie;Call;AQ_1;119,74;29,94;;149,68;;
GYB220104-5490-77123;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 4, 2022, 12:00 AM;январь 4, 2025, 12:00 AM;36;январь 4, 2022, 6:25 PM;;;No;No;Megan;Chat;AQ_9;684,00;0,00;;684,00;;
GYB220104-8715-72118;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 4, 2022, 12:00 AM;январь 11, 2023, 12:00 AM;1;январь 4, 2022, 7:32 PM;;;No;No;Vicky;Call;AQ_9;345,60;86,40;;432,00;;
GYB220104-4319-32105;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 4, 2022, 9:53 PM;;;No;No;Megan;Chat;AQ_9;149,00;0,00;;149,00;;
GYB220104-2435-91122;CA;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 4, 2022, 11:05 PM;;;No;No;Vicky;Call;AQ_3;148,86;0,00;;148,86;;
GYB220104-2435-90148;US;gyb-support-24-month-plan-hi; Support 24-month Plan;январь 4, 2022, 12:00 AM;июнь 2, 2024, 12:00 AM;24;январь 5, 2022, 1:33 AM;;;No;No;Esmee;Call;ByteFence.CTA;576,00;0,00;;576,00;;
GYB220105-5490-83111;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 5, 2022, 7:07 AM;;;No;No;Jackie;Call;AQ_9;126,65;22,35;;149,00;;
